Date,Time In,Time Out,Pond,Site ID,Gear Number,Species,Length mm,COMMON NAME
8/8/2016 0:00:00,12/30/1899 10:43:00,12/30/1899 16:48:00,Ninigret Pond,2S,2,473,46,MUMMICHOG
8/8/2016 0:00:00,12/30/1899 10:47:00,12/30/1899 16:55:00,Ninigret Pond,2U,1,473,45,MUMMICHOG
8/8/2016 0:00:00,12/30/1899 10:47:00,12/30/1899 16:55:00,Ninigret Pond,2U,3,473,47,MUMMICHOG
8/8/2016 0:00:00,12/30/1899 10:50:00,12/30/1899 17:06:00,Ninigret Pond,2C,2,473,46,MUMMICHOG
8/8/2016 0:00:00,12/30/1899 10:50:00,12/30/1899 17:06:00,Ninigret Pond,2C,2,473,39,MUMMICHOG
6/7/2016 0:00:00,12/30/1899 10:47:00,12/30/1899 16:44:00,Ninigret Pond,4U,1,473,75,MUMMICHOG
6/7/2016 0:00:00,12/30/1899 10:47:00,12/30/1899 16:44:00,Ninigret Pond,4U,1,473,76,MUMMICHOG
6/7/2016 0:00:00,12/30/1899 10:47:00,12/30/1899 16:44:00,Ninigret Pond,4U,1,473,51,MUMMICHOG
6/7/2016 0:00:00,12/30/1899 10:47:00,12/30/1899 16:44:00,Ninigret Pond,4U,1,473,50,MUMMICHOG
6/9/2016 0:00:00,12/30/1899 10:25:00,12/30/1899 16:07:00,Ninigret Pond,1C,3,473,78,MUMMICHOG
7/7/2016 0:00:00,12/30/1899 11:10:00,12/30/1899 17:18:00,Ninigret Pond,3S,1,473,71,MUMMICHOG
7/7/2016 0:00:00,12/30/1899 11:15:00,12/30/1899 16:55:00,Ninigret Pond,3C,1,473,75,MUMMICHOG
8/9/2016 0:00:00,12/30/1899 12:41:00,12/30/1899 18:44:00,Ninigret Pond,4U,2,473,39,MUMMICHOG
8/29/2016 0:00:00,12/30/1899 10:38:00,12/30/1899 16:18:00,Quonochontaug Pond,3D,1,473,40,MUMMICHOG
9/22/2016 0:00:00,12/30/1899 11:08:00,12/30/1899 16:20:00,Quonochontaug Pond,3A,2,473,90,MUMMICHOG
10/26/2016 0:00:00,12/30/1899 10:17:00,12/30/1899 16:42:00,Quonochontaug Pond,1C,1,473,39,MUMMICHOG
9/21/2016 0:00:00,12/30/1899 11:07:00,12/30/1899 16:47:00,Ninigret Pond,1C,2,473,56,MUMMICHOG
9/21/2016 0:00:00,,,Ninigret Pond,2U,1,473,54,MUMMICHOG
9/21/2016 0:00:00,,,Ninigret Pond,2U,1,473,47,MUMMICHOG
9/21/2016 0:00:00,,,Ninigret Pond,2C,3,473,60,MUMMICHOG
9/21/2016 0:00:00,,,Ninigret Pond,2C,3,473,60,MUMMICHOG
9/21/2016 0:00:00,,,Ninigret Pond,2C,3,473,50,MUMMICHOG
7/28/2016 0:00:00,12/30/1899 11:03:00,12/30/1899 17:14:00,Quonochontaug Pond,1C,1,473,71,MUMMICHOG
10/28/2016 0:00:00,12/30/1899 10:35:00,12/30/1899 16:40:00,Quonochontaug Pond,3D,1,474,93,KILLIFISH STRIPED
6/24/2015 0:00:00,12/30/1899 10:15:00,12/30/1899 16:19:00,Ninigret Pond,1S,3,474,65,KILLIFISH STRIPED
9/21/2016 0:00:00,12/30/1899 11:07:00,12/30/1899 16:47:00,Ninigret Pond,1C,2,474,42,KILLIFISH STRIPED
9/21/2016 0:00:00,12/30/1899 11:07:00,12/30/1899 16:47:00,Ninigret Pond,1C,2,474,44,KILLIFISH STRIPED
9/21/2016 0:00:00,12/30/1899 11:07:00,12/30/1899 16:47:00,Ninigret Pond,1C,2,474,43,KILLIFISH STRIPED
9/21/2016 0:00:00,12/30/1899 11:07:00,12/30/1899 16:47:00,Ninigret Pond,1C,2,474,40,KILLIFISH STRIPED
9/21/2016 0:00:00,12/30/1899 11:07:00,12/30/1899 16:47:00,Ninigret Pond,1C,2,474,42,KILLIFISH STRIPED
9/21/2016 0:00:00,12/30/1899 11:07:00,12/30/1899 16:47:00,Ninigret Pond,1C,2,474,39,KILLIFISH STRIPED
9/21/2016 0:00:00,,,Ninigret Pond,2C,2,474,45,KILLIFISH STRIPED
9/21/2016 0:00:00,,,Ninigret Pond,2C,2,474,46,KILLIFISH STRIPED
9/21/2016 0:00:00,,,Ninigret Pond,2C,3,474,48,KILLIFISH STRIPED
9/21/2016 0:00:00,,,Ninigret Pond,2C,3,474,47,KILLIFISH STRIPED
9/21/2016 0:00:00,,,Ninigret Pond,2C,3,474,45,KILLIFISH STRIPED
10/20/2016 0:00:00,12/30/1899 10:25:00,12/30/1899 16:40:00,Ninigret Pond,2U,2,738,37,GOBY NAKED
10/20/2016 0:00:00,12/30/1899 10:30:00,12/30/1899 16:50:00,Ninigret Pond,2C,1,738,40,GOBY NAKED
9/28/2016 0:00:00,12/30/1899 10:23:00,12/30/1899 13:53:00,Quonochontaug Pond,1B,1,738,27,GOBY NAKED
6/9/2016 0:00:00,12/30/1899 10:41:00,12/30/1899 16:42:00,Ninigret Pond,2U,2,738,57,GOBY NAKED
6/9/2016 0:00:00,12/30/1899 10:41:00,12/30/1899 16:42:00,Ninigret Pond,2U,2,738,55,GOBY NAKED
10/26/2016 0:00:00,12/30/1899 10:17:00,12/30/1899 16:42:00,Quonochontaug Pond,1C,1,738,31,GOBY NAKED
6/22/2016 0:00:00,12/30/1899 12:52:00,12/30/1899 18:25:00,Quonochontaug Pond,3C,3,738,55,GOBY NAKED
10/20/2016 0:00:00,12/30/1899 10:25:00,12/30/1899 16:40:00,Ninigret Pond,2U,1,961,41,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:25:00,12/30/1899 16:40:00,Ninigret Pond,2U,1,961,44,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:25:00,12/30/1899 16:40:00,Ninigret Pond,2U,1,961,43,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:25:00,12/30/1899 16:40:00,Ninigret Pond,2U,1,961,46,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:25:00,12/30/1899 16:40:00,Ninigret Pond,2U,1,961,41,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:25:00,12/30/1899 16:40:00,Ninigret Pond,2U,1,961,45,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:25:00,12/30/1899 16:40:00,Ninigret Pond,2U,1,961,38,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:25:00,12/30/1899 16:40:00,Ninigret Pond,2U,1,961,33,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:25:00,12/30/1899 16:40:00,Ninigret Pond,2U,1,961,35,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:25:00,12/30/1899 16:40:00,Ninigret Pond,2U,1,961,42,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:25:00,12/30/1899 16:40:00,Ninigret Pond,2U,1,961,41,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:25:00,12/30/1899 16:40:00,Ninigret Pond,2U,1,961,44,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:30:00,12/30/1899 16:50:00,Ninigret Pond,2C,1,961,45,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:30:00,12/30/1899 16:50:00,Ninigret Pond,2C,1,961,45,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:30:00,12/30/1899 16:50:00,Ninigret Pond,2C,1,961,50,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:30:00,12/30/1899 16:50:00,Ninigret Pond,2C,1,961,37,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:30:00,12/30/1899 16:50:00,Ninigret Pond,2C,1,961,45,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:30:00,12/30/1899 16:50:00,Ninigret Pond,2C,1,961,42,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:30:00,12/30/1899 16:50:00,Ninigret Pond,2C,1,961,42,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:30:00,12/30/1899 16:50:00,Ninigret Pond,2C,1,961,40,RAINWATER KILLIFISH
6/24/2015 0:00:00,12/30/1899 10:30:00,12/30/1899 16:52:00,Ninigret Pond,2U,1,961,45,RAINWATER KILLIFISH
6/26/2015 0:00:00,12/30/1899 10:00:00,12/30/1899 17:10:00,Ninigret Pond,3C,3,961,43,RAINWATER KILLIFISH
6/26/2015 0:00:00,12/30/1899 10:00:00,12/30/1899 16:45:00,Ninigret Pond,3U,1,961,39,RAINWATER KILLIFISH
6/26/2015 0:00:00,12/30/1899 10:00:00,12/30/1899 16:45:00,Ninigret Pond,3U,3,961,41,RAINWATER KILLIFISH
6/26/2015 0:00:00,12/30/1899 10:10:00,12/30/1899 16:00:00,Ninigret Pond,4U,1,961,37,RAINWATER KILLIFISH
6/26/2015 0:00:00,12/30/1899 10:15:00,12/30/1899 15:40:00,Ninigret Pond,4S,1,961,40,RAINWATER KILLIFISH
6/26/2015 0:00:00,12/30/1899 10:00:00,12/30/1899 17:10:00,Ninigret Pond,3C,3,961,45,RAINWATER KILLIFISH
6/26/2015 0:00:00,12/30/1899 10:00:00,12/30/1899 16:45:00,Ninigret Pond,3U,3,961,40,RAINWATER KILLIFISH
6/26/2015 0:00:00,12/30/1899 10:00:00,12/30/1899 16:45:00,Ninigret Pond,3U,3,961,40,RAINWATER KILLIFISH
6/26/2015 0:00:00,12/30/1899 10:00:00,12/30/1899 16:45:00,Ninigret Pond,3U,3,961,44,RAINWATER KILLIFISH
6/26/2015 0:00:00,12/30/1899 10:00:00,12/30/1899 16:45:00,Ninigret Pond,3U,3,961,44,RAINWATER KILLIFISH
10/20/2016 0:00:00,12/30/1899 10:10:00,12/30/1899 16:16:00,Ninigret Pond,1C,1,961,45,RAINWATER KILLIFISH
7/7/2016 0:00:00,12/30/1899 11:10:00,12/30/1899 17:18:00,Ninigret Pond,3S,1,961,44,RAINWATER KILLIFISH
7/7/2016 0:00:00,12/30/1899 11:10:00,12/30/1899 17:18:00,Ninigret Pond,3S,1,961,41,RAINWATER KILLIFISH
7/7/2016 0:00:00,12/30/1899 11:10:00,12/30/1899 17:18:00,Ninigret Pond,3S,1,961,42,RAINWATER KILLIFISH
7/7/2016 0:00:00,12/30/1899 11:10:00,12/30/1899 17:18:00,Ninigret Pond,3S,1,961,41,RAINWATER KILLIFISH
7/7/2016 0:00:00,12/30/1899 11:10:00,12/30/1899 17:18:00,Ninigret Pond,3S,1,961,45,RAINWATER KILLIFISH
7/7/2016 0:00:00,12/30/1899 11:10:00,12/30/1899 17:18:00,Ninigret Pond,3S,1,961,41,RAINWATER KILLIFISH
7/7/2016 0:00:00,12/30/1899 11:10:00,12/30/1899 17:18:00,Ninigret Pond,3S,1,961,44,RAINWATER KILLIFISH
